Submission id,Participant id,Status,Custom study tncs accepted at,Started at,Completed at,Reviewed at,Archived at,Time taken,Completion code,Total approvals,Fluent languages,Age,Sex,Ethnicity simplified,Country of birth,Country of residence,Nationality,Language,Student status,Employment status
65f3410ffcbcc87593dfc6f3,5fd0c81fc79aef1882cbee94,APPROVED,Not Applicable,2024-03-14T18:29:44.969000Z,2024-03-14T18:53:39.829000Z,2024-03-14T19:39:35.416000Z,2024-03-14T18:53:58.897500Z,1435.0,C1JX727W,756,"Polish, English",23,Male,White,Poland,Poland,Poland,Polish,Yes,Other
65f346ff759d85c9e69dd698,5d6e3252dfe6d10001dbe508,APPROVED,Not Applicable,2024-03-14T18:52:44.985000Z,2024-03-14T19:15:23.426000Z,2024-03-14T19:39:41.018000Z,2024-03-14T19:15:23.912170Z,1359.0,C1JX727W,1268,"English, Polish",28,Male,White,Poland,Poland,Poland,Polish,No,Full-Time
65f32a9406eb77f36d71d9c7,651aca8c8817e41906afd197,APPROVED,Not Applicable,2024-03-14T16:49:33.812000Z,2024-03-14T17:04:27.551000Z,2024-03-14T17:04:38.129000Z,2024-03-14T17:04:28.624665Z,894.0,C1JX727W,44,English,24,Female,Black,South Africa,South Africa,South Africa,English,No,Unemployed (and job seeking)
65f32a9d788a638ed020cde1,611b87ab5cc971129768ead2,APPROVED,Not Applicable,2024-03-14T16:49:48.524000Z,2024-03-14T17:01:46.335000Z,2024-03-14T17:01:59.583000Z,2024-03-14T17:03:58.316775Z,718.0,C1JX727W,135,"English, Italian, Spanish",25,Female,White,Italy,Italy,Italy,Italian,No,Unemployed (and job seeking)
65f32aa546795ed1cf589d39,5d1cd0474cd073001a988c6f,APPROVED,Not Applicable,2024-03-14T16:49:47.970000Z,2024-03-14T17:05:10.096000Z,2024-03-14T17:05:15.834000Z,2024-03-14T17:05:10.751064Z,923.0,C1JX727W,380,"Polish, English",23,Female,White,Poland,Poland,Poland,Polish,Yes,Part-Time
65f32aad36170799416eea52,6596baaac0c0316cb66c0828,APPROVED,Not Applicable,2024-03-14T16:51:39.861000Z,2024-03-14T17:14:53.729000Z,2024-03-14T17:15:35.159000Z,2024-03-14T17:14:54.316819Z,1394.0,C1JX727W,18,English,39,Female,White,Poland,Poland,Poland,Polish,No,Part-Time
65f32ab06afc5f3102e7c476,60ef2bbcd29b2b3f90f2ef66,AWAITING REVIEW,Not Applicable,2024-03-14T16:50:04.592000Z,2024-03-14T17:11:47.771000Z,,2024-03-14T17:11:48.369965Z,1304.0,C1D1RTDT,223,English,24,Female,Black,South Africa,South Africa,South Africa,English,Yes,Full-Time
65f32ab515f9a51cb7fdf65a,603e12741967b3dafd864fdb,APPROVED,Not Applicable,2024-03-14T16:49:57.927000Z,2024-03-14T17:10:40.525000Z,2024-03-14T17:10:47.196000Z,2024-03-14T17:10:41.096417Z,1243.0,C1JX727W,35,"Spanish, Portuguese, Italian, French, English",21,Female,White,Portugal,Portugal,Portugal,Portuguese,DATA_EXPIRED,DATA_EXPIRED
65f32ab8f42a6688236c2616,6165e0b51a883e9db8cc7146,APPROVED,Not Applicable,2024-03-14T16:50:00.145000Z,2024-03-14T17:07:49.473000Z,2024-03-14T17:07:53.513000Z,2024-03-14T17:07:50.126568Z,1070.0,C1JX727W,483,"Greek, English",38,Female,White,Greece,Denmark,Greece,Greek,No,Full-Time
65f32abac8e8a969f1092ff0,64695626f4ab43c011bd53ca,APPROVED,Not Applicable,2024-03-14T16:50:02.883000Z,2024-03-14T17:12:37.202000Z,2024-03-14T17:13:04.956000Z,2024-03-14T17:12:37.761467Z,1355.0,C1JX727W,58,English,23,Female,White,Chile,Chile,Chile,Spanish,Yes,Other
